Terme 1,Terme 2,Score Similarité
jour,promenade,0.495
jour,jouer,0.541
jour,être,0.627
jour,distinguer,0.374
jour,courir,0.424
jour,habiter,0.364
jour,long,0.526
jour,bout,0.39
jour,rose,0.359
jour,air,0.617
jour,sorte,0.495
jour,figure,0.4
jour,aimer,0.669
jour,pied,0.388
jour,montrer,0.51
jour,réserver,0.371
jour,contraire,0.493
jour,indifférence,0.362
jour,champ,0.369
jour,cœur,0.584
jour,habitude,0.58
jour,semaine,0.443
jour,heureux,0.614
jour,fois,0.767
jour,mettre,0.645
jour,rue,0.54
jour,présence,0.503
jour,suite,0.58
jour,autrefoi,0.56
jour,paris,0.621
jour,personne,0.477
jour,raconter,0.463
jour,fin,0.483
jour,mère,0.642
jour,fixe,0.357
jour,douloureux,0.376
jour,attendre,0.588
jour,premier,0.402
jour,tristesse,0.464
jour,descendre,0.462
jour,avancer,0.403
jour,rêver,0.416
jour,nom,0.554
jour,écouter,0.384
jour,voix,0.434
jour,comprendre,0.579
jour,continuer,0.532
jour,objet,0.37
jour,rencontrer,0.647
jour,rendre,0.53
jour,laisser,0.599
jour,paraître,0.485
jour,ancien,0.453
jour,causer,0.52
jour,beauté,0.362
jour,attention,0.435
jour,influence,0.382
jour,penser,0.702
jour,triste,0.434
jour,besoin,0.543
jour,servir,0.416
jour,manger,0.372
jour,tomber,0.41
jour,cher,0.421
jour,jardin,0.448
jour,salon,0.445
jour,père,0.565
jour,envoyer,0.612
jour,dire,0.712
jour,force,0.37
jour,éviter,0.363
jour,bruit,0.36
jour,françoise,0.514
jour,peur,0.472
jour,allée,0.384
jour,mouvement,0.455
jour,âme,0.394
jour,désir,0.545
jour,ramener,0.422
jour,table,0.53
jour,empêcher,0.586
jour,mari,0.458
jour,apporter,0.473
jour,famille,0.501
jour,entrer,0.582
jour,tendresse,0.448
jour,cas,0.526
jour,souffrance,0.451
jour,regard,0.461
jour,sourire,0.521
jour,visage,0.533
jour,avance,0.448
jour,essayer,0.369
jour,considérer,0.362
jour,rire,0.444
jour,persuader,0.368
jour,monter,0.494
jour,maison,0.65
jour,doute,0.612
jour,permettre,0.623
jour,cours,0.381
jour,ciel,0.352
jour,amener,0.369
jour,embrasser,0.452
jour,annoncer,0.503
jour,souhaiter,0.462
jour,tâcher,0.512
jour,perdre,0.464
jour,calme,0.417
jour,tendre,0.363
jour,réel,0.371
jour,swann,0.759
jour,voisin,0.392
jour,mauvais,0.409
jour,mariage,0.497
jour,recevoir,0.623
jour,visite,0.594
jour,naturel,0.402
jour,prétexte,0.44
jour,profiter,0.451
jour,fils,0.39
jour,reconnaître,0.536
jour,garder,0.453
jour,attacher,0.365
jour,aimable,0.375
jour,jeune,0.447
jour,lier,0.372
jour,ami,0.644
jour,an,0.536
jour,propriété,0.423
jour,posséder,0.433
jour,coup,0.559
jour,vieux,0.431
jour,promener,0.387
jour,joli,0.356
jour,mourir,0.374
jour,revenir,0.597
jour,pareil,0.403
jour,joie,0.554
jour,contenter,0.352
jour,phrase,0.424
jour,prononcer,0.39
jour,propos,0.464
jour,soupçonner,0.407
jour,vivre,0.522
jour,préférer,0.449
jour,tenir,0.499
jour,idée,0.523
jour,composer,0.38
jour,hasard,0.376
jour,relation,0.428
jour,saluer,0.402
jour,simple,0.423
jour,quartier,0.393
jour,demande,0.396
jour,intérêt,0.425
jour,supposer,0.458
jour,conversation,0.398
jour,sœur,0.404
jour,revanche,0.356
jour,renseignement,0.383
jour,amuser,0.42
jour,choisir,0.409
jour,cocher,0.453
jour,ridicule,0.381
jour,vrai,0.433
jour,monsieur,0.516
jour,remarquer,0.529
jour,juger,0.418
jour,manquer,0.5
jour,sûr,0.447
jour,bel,0.386
jour,tante,0.541
jour,dame,0.467
jour,excuser,0.397
jour,départ,0.365
jour,princesse,0.483
jour,répondre,0.628
jour,invitation,0.375
jour,rapporter,0.365
jour,œuvre,0.443
jour,inviter,0.589
jour,lettre,0.552
jour,enfant,0.438
jour,époque,0.438
jour,insignifiant,0.415
jour,connaissance,0.385
jour,appeler,0.545
jour,part,0.42
jour,impression,0.437
jour,charmant,0.407
jour,ressembler,0.367
jour,portrait,0.361
jour,réponse,0.434
jour,apprendre,0.649
jour,déjeuner,0.503
jour,dimanche,0.436
jour,oncle,0.53
jour,état,0.414
jour,priver,0.392
jour,sens,0.402
jour,renoncer,0.426
jour,projet,0.365
jour,frapper,0.41
jour,rapport,0.357
jour,veille,0.425
jour,mot,0.619
jour,goût,0.467
jour,mal,0.529
jour,envier,0.444
jour,adresser,0.446
jour,obtenir,0.366
jour,consentir,0.357
jour,nécessaire,0.444
jour,opposer,0.37
jour,emmener,0.388
jour,décider,0.46
jour,approcher,0.503
jour,toucher,0.362
jour,éprouver,0.498
jour,instituteur,0.356
jour,intéressant,0.392
jour,vinteuil,0.438
jour,écrier,0.391
jour,moquer,0.352
jour,ajouter,0.449
jour,écrire,0.541
jour,agréable,0.458
jour,répondit,0.408
jour,regretter,0.369
jour,mlle,0.422
jour,intelligence,0.376
jour,manière,0.46
jour,oser,0.452
jour,promettre,0.476
jour,préparer,0.368
jour,peintre,0.443
jour,expression,0.385
jour,chagrin,0.398
jour,ressentir,0.376
jour,eau,0.416
jour,répéter,0.396
jour,refuser,0.352
jour,théâtre,0.47
jour,remettre,0.356
jour,scène,0.408
jour,déranger,0.462
jour,écrir,0.391
jour,signe,0.474
jour,vérité,0.409
jour,cacher,0.461
jour,amour,0.567
jour,lendemain,0.543
jour,amitié,0.362
jour,camarade,0.375
jour,occasion,0.402
jour,amie,0.553
jour,fête,0.499
jour,maîtresse,0.381
jour,ennuyer,0.373
jour,rare,0.424
jour,douleur,0.39
jour,ville,0.453
jour,avertir,0.405
jour,reprendre,0.361
jour,charlus,0.361
jour,admirer,0.409
jour,prix,0.379
jour,colère,0.353
jour,parole,0.489
jour,toilette,0.354
jour,espérer,0.45
jour,droit,0.385
jour,explication,0.368
jour,exister,0.429
jour,prêt,0.401
jour,action,0.364
jour,affection,0.352
jour,atteindre,0.377
jour,avouer,0.372
jour,maladie,0.362
jour,soirée,0.579
jour,risquer,0.388
jour,fatiguer,0.441
jour,valeur,0.377
jour,arrivée,0.363
jour,charmer,0.372
jour,mystérieux,0.353
jour,renouveler,0.369
jour,songer,0.45
jour,journée,0.483
jour,morceau,0.359
jour,preuve,0.381
jour,découvrir,0.364
jour,course,0.481
jour,lieue,0.432
jour,pâques,0.367
jour,cousin,0.373
jour,bois,0.417
jour,quotidien,0.398
jour,gentil,0.37
jour,compter,0.468
jour,absenter,0.435
jour,goupil,0.403
jour,docteur,0.452
jour,prévenir,0.42
jour,sourir,0.357
jour,guermantes,0.472
jour,clocher,0.381
jour,endroit,0.371
jour,plaire,0.472
jour,legrandin,0.459
jour,vacance,0.38
jour,jolie,0.415
jour,qualité,0.362
jour,exiger,0.424
jour,voiture,0.538
jour,crainte,0.369
jour,musique,0.355
jour,sortie,0.413
jour,bergotte,0.355
jour,forcer,0.431
jour,capable,0.389
jour,plaisanterie,0.359
jour,fit,0.374
jour,accepter,0.393
jour,voyez,0.36
jour,argent,0.427
jour,soupçon,0.382
jour,marcher,0.379
jour,gilberte,0.635
jour,charlu,0.38
jour,amant,0.396
jour,verdurin,0.507
jour,pianiste,0.399
jour,cottard,0.423
jour,crécy,0.367
jour,odette,0.725
jour,ennuyeux,0.364
jour,restaurant,0.388
jour,odett,0.507
jour,forcheville,0.643
jour,laume,0.385
jour,affectionner,0.425
jour,jalousie,0.386
jour,chatou,0.36
jour,pierrefonds,0.35
matin,bon,0.409
matin,peine,0.35
matin,pensée,0.395
matin,chercher,0.431
matin,croire,0.426
matin,cesser,0.363
matin,lire,0.373
matin,sembler,0.39
matin,commencer,0.431
matin,chose,0.402
matin,train,0.419
matin,souvenir,0.368
matin,beau,0.438
matin,regarder,0.356
matin,moment,0.48
matin,pouvoir,0.458
matin,sonner,0.361
matin,porter,0.352
matin,dernier,0.38
matin,falloir,0.485
matin,rester,0.501
matin,chambre,0.433
matin,vie,0.428
matin,retrouver,0.372
matin,monde,0.443
matin,femme,0.37
matin,plaisir,0.408
matin,sentir,0.398
matin,quitter,0.478
matin,arriver,0.511
matin,connaître,0.392
matin,aller,0.551
matin,donner,0.437
matin,voir,0.511
matin,année,0.369
matin,arrêter,0.403
matin,savoir,0.471
matin,fût,0.361
matin,lieu,0.419
matin,avoir,0.478
matin,sortir,0.452
matin,passer,0.529
matin,place,0.381
matin,rappeler,0.404
matin,grand,0.43
matin,finir,0.377
matin,maman,0.401
matin,combray,0.465
matin,parent,0.365
matin,dîner,0.52
matin,soir,0.529
matin,rentrer,0.536
matin,promenade,0.415
matin,être,0.372
matin,long,0.368
matin,air,0.358
matin,aimer,0.362
matin,habitude,0.36
matin,fois,0.471
matin,mettre,0.441
matin,rue,0.411
matin,paris,0.444
matin,mère,0.441
matin,attendre,0.474
matin,descendre,0.375
matin,rencontrer,0.364
matin,rendre,0.36
matin,laisser,0.366
matin,penser,0.419
matin,jardin,0.373
matin,père,0.389
matin,envoyer,0.425
matin,dire,0.48
matin,françoise,0.368
matin,empêcher,0.368
matin,entrer,0.425
matin,monter,0.386
matin,maison,0.454
matin,permettre,0.396
matin,perdre,0.353
matin,swann,0.467
matin,recevoir,0.379
matin,visite,0.416
matin,ami,0.373
matin,coup,0.408
matin,revenir,0.413
matin,tante,0.409
matin,répondre,0.359
matin,apprendre,0.45
matin,déjeuner,0.43
matin,oncle,0.353
matin,mot,0.383
matin,écrire,0.369
matin,théâtre,0.367
matin,déranger,0.407
matin,lendemain,0.414
matin,fête,0.366
matin,ville,0.354
matin,espérer,0.358
matin,journée,0.362
matin,course,0.421
matin,pâques,0.353
matin,compter,0.359
matin,sortie,0.361
matin,gilberte,0.364
matin,odette,0.45
matin,forcheville,0.377
moment,bon,0.559
moment,peine,0.518
moment,pensée,0.64
moment,chercher,0.679
moment,éveiller,0.38
moment,croire,0.708
moment,main,0.453
moment,cesser,0.598
moment,lire,0.493
moment,particulier,0.513
moment,sembler,0.597
moment,parler,0.551
moment,église,0.375
moment,raison,0.539
moment,commencer,0.576
moment,devenir,0.548
moment,existence,0.427
moment,livre,0.37
moment,libre,0.361
moment,vue,0.469
moment,étonner,0.385
moment,doux,0.388
moment,esprit,0.575
moment,apparaître,0.423
moment,chose,0.71
moment,cause,0.545
moment,obscur,0.367
moment,train,0.459
moment,éloigner,0.381
moment,campagne,0.368
moment,souvenir,0.583
moment,nouveau,0.548
moment,acte,0.362
moment,adieu,0.365
moment,douceur,0.408
moment,beau,0.572
moment,regarder,0.537
moment,instant,0.567
moment,malade,0.45
moment,obliger,0.45
moment,voyage,0.365
moment,inconnu,0.425
moment,bonheur,0.435
moment,lever,0.392
moment,pouvoir,0.701
moment,porter,0.534
moment,donne,0.361
moment,souffrir,0.505
moment,dernier,0.525
moment,falloir,0.598
moment,rester,0.668
moment,goûter,0.458
moment,grâce,0.402
moment,conscience,0.369
moment,chambre,0.484
moment,partie,0.505
moment,retourner,0.4
moment,rejoindre,0.532
moment,effort,0.383
moment,âge,0.371
moment,vie,0.655
moment,retrouver,0.63
moment,tirer,0.447
moment,oublier,0.43
moment,échapper,0.37
moment,tête,0.493
moment,monde,0.663
moment,rêve,0.375
moment,femme,0.674
moment,faux,0.406
moment,plaisir,0.652
moment,point,0.48
moment,imaginer,0.471
moment,corps,0.397
moment,sentir,0.668
moment,propre,0.433
moment,quitter,0.587
moment,baiser,0.409
moment,arriver,0.673
moment,trait,0.352
moment,connaître,0.67
moment,aller,0.738
moment,donner,0.667
moment,voir,0.759
moment,désirer,0.556
moment,réalité,0.447
moment,charme,0.404
moment,fille,0.492
moment,homme,0.52
moment,année,0.56
moment,second,0.38
moment,occuper,0.502
moment,bras,0.39
moment,arrêter,0.513
moment,minute,0.441
moment,savoir,0.718
moment,exemple,0.354
moment,asseoir,0.443
moment,mois,0.492
moment,suffire,0.362
moment,fût,0.534
moment,profond,0.402
moment,lieu,0.577
moment,milieu,0.509
moment,ignorer,0.366
moment,sentiment,0.469
moment,fond,0.497
moment,avoir,0.716
moment,sortir,0.566
moment,passer,0.686
moment,image,0.485
moment,face,0.427
moment,réussir,0.401
moment,tourner,0.434
moment,pays,0.388
moment,forme,0.353
moment,place,0.542
moment,mémoire,0.389
moment,présenter,0.468
moment,invisible,0.371
moment,changer,0.413
moment,pièce,0.363
moment,rapprocher,0.376
moment,rappeler,0.573
moment,genre,0.401
moment,fenêtre,0.367
moment,côté,0.471
moment,deviner,0.412
moment,grand,0.662
moment,finir,0.591
moment,maman,0.521
moment,mort,0.423
moment,fidèle,0.434
moment,combray,0.512
moment,parent,0.58
moment,représenter,0.467
moment,revoir,0.468
moment,attitude,0.377
moment,mme,0.496
moment,dieu,0.367
moment,dîner,0.54
moment,prolonger,0.35
moment,soir,0.68
moment,rentrer,0.609
moment,promenade,0.43
moment,reflet,0.36
moment,mener,0.39
moment,jouer,0.48
moment,être,0.632
moment,distinguer,0.434
moment,courir,0.362
moment,long,0.485
moment,bout,0.408
moment,air,0.633
moment,sorte,0.537
moment,figure,0.38
moment,aimer,0.707
moment,pied,0.38
moment,montrer,0.511
moment,réserver,0.354
moment,contraire,0.522
moment,odeur,0.359
moment,cœur,0.579
moment,habitude,0.601
moment,semaine,0.375
moment,heureux,0.616
moment,fois,0.716
moment,mettre,0.626
moment,rue,0.444
moment,présence,0.523
moment,suite,0.548
moment,autrefoi,0.537
moment,paris,0.516
moment,personne,0.504
moment,raconter,0.427
moment,fin,0.478
moment,mère,0.588
moment,redevenir,0.375
moment,douloureux,0.386
moment,attendre,0.558
moment,premier,0.364
moment,tristesse,0.417
moment,descendre,0.396
moment,avancer,0.369
moment,rêver,0.37
moment,nom,0.536
moment,écouter,0.359
moment,voix,0.418
moment,comprendre,0.587
moment,continuer,0.506
moment,objet,0.363
moment,rencontrer,0.605
moment,rendre,0.515
moment,laisser,0.59
moment,paraître,0.542
moment,histoire,0.353
moment,ancien,0.413
moment,causer,0.536
moment,beauté,0.391
moment,attention,0.44
moment,influence,0.4
moment,penser,0.7
moment,triste,0.435
moment,besoin,0.545
moment,servir,0.393
moment,tomber,0.363
moment,cher,0.422
moment,jardin,0.371
moment,salon,0.399
moment,père,0.562
moment,envoyer,0.539
moment,dire,0.694
moment,force,0.409
moment,éviter,0.381
moment,bruit,0.373
moment,françoise,0.47
moment,peur,0.447
moment,nature,0.353
moment,mouvement,0.445
moment,âme,0.445
moment,désir,0.546
moment,ramener,0.413
moment,table,0.457
moment,empêcher,0.537
moment,mari,0.434
moment,apporter,0.437
moment,famille,0.458
moment,entrer,0.586
moment,tendresse,0.446
moment,cas,0.491
moment,souffrance,0.49
moment,regard,0.461
moment,sourire,0.531
moment,visage,0.567
moment,avance,0.385
moment,essayer,0.39
moment,considérer,0.422
moment,rire,0.424
moment,persuader,0.357
moment,monter,0.469
moment,maison,0.606
moment,doute,0.602
moment,permettre,0.609
moment,amener,0.384
moment,embrasser,0.476
moment,annoncer,0.407
moment,souhaiter,0.454
moment,tâcher,0.534
moment,perdre,0.488
moment,calme,0.378
moment,réel,0.434
moment,somme,0.371
moment,swann,0.734
moment,mauvais,0.398
moment,mariage,0.373
moment,recevoir,0.592
moment,visite,0.513
moment,naturel,0.417
moment,prétexte,0.408
moment,profiter,0.367
moment,fils,0.387
moment,reconnaître,0.48
moment,garder,0.459
moment,attacher,0.397
moment,importance,0.381
moment,aimable,0.39
moment,jeune,0.387
moment,lier,0.358
moment,ami,0.595
moment,an,0.435
moment,propriété,0.354
moment,posséder,0.436
moment,coup,0.573
moment,vieux,0.419
moment,arbre,0.353
moment,revenir,0.573
moment,pareil,0.377
moment,joie,0.53
moment,geste,0.368
moment,phrase,0.433
moment,prononcer,0.393
moment,propos,0.474
moment,vivre,0.546
moment,préférer,0.421
moment,mondain,0.361
moment,tenir,0.565
moment,idée,0.584
moment,composer,0.376
moment,hasard,0.376
moment,relation,0.437
moment,saluer,0.367
moment,simple,0.422
moment,quartier,0.368
moment,demande,0.364
moment,intérêt,0.43
moment,supposer,0.495
moment,conversation,0.384
moment,sœur,0.389
moment,provoquer,0.355
moment,revanche,0.392
moment,renseignement,0.375
moment,amuser,0.387
moment,choisir,0.376
moment,cocher,0.438
moment,ridicule,0.417
moment,vrai,0.486
moment,monsieur,0.482
moment,remarquer,0.481
moment,juger,0.391
moment,manquer,0.477
moment,sûr,0.407
moment,bel,0.402
moment,tante,0.487
moment,dame,0.42
moment,mortel,0.371
moment,princesse,0.462
moment,répondre,0.598
moment,rapporter,0.35
moment,œuvre,0.431
moment,inviter,0.475
moment,lettre,0.482
moment,enfant,0.398
moment,époque,0.439
moment,insignifiant,0.393
moment,connaissance,0.372
moment,appeler,0.531
moment,part,0.438
moment,vague,0.354
moment,impression,0.441
moment,charmant,0.405
moment,ressembler,0.353
moment,portrait,0.357
moment,déclarer,0.388
moment,réponse,0.405
moment,apprendre,0.64
moment,déjeuner,0.473
moment,oncle,0.511
moment,état,0.402
moment,priver,0.437
moment,sens,0.398
moment,renoncer,0.459
moment,projet,0.359
moment,intéresser,0.353
moment,frapper,0.402
moment,rapport,0.354
moment,veille,0.352
moment,mot,0.608
moment,goût,0.506
moment,mal,0.505
moment,envier,0.437
moment,adresser,0.452
moment,obtenir,0.378
moment,nécessaire,0.432
moment,emmener,0.406
moment,décider,0.469
moment,approcher,0.482
moment,angoisse,0.371
moment,toucher,0.372
moment,éprouver,0.56
moment,intéressant,0.407
moment,vinteuil,0.375
moment,écrier,0.393
moment,moquer,0.368
moment,ajouter,0.442
moment,écrire,0.505
moment,agréable,0.487
moment,répondit,0.39
moment,regretter,0.359
moment,mlle,0.383
moment,intelligence,0.399
moment,manière,0.468
moment,oser,0.459
moment,promettre,0.435
moment,préparer,0.371
moment,peintre,0.452
moment,expression,0.398
moment,chagrin,0.398
moment,ressentir,0.433
moment,eau,0.382
moment,répéter,0.407
moment,refuser,0.372
moment,théâtre,0.462
moment,déranger,0.458
moment,mentir,0.365
moment,signe,0.468
moment,vérité,0.423
moment,cacher,0.512
moment,amour,0.605
moment,lendemain,0.453
moment,occasion,0.417
moment,amie,0.512
moment,fête,0.405
moment,maîtresse,0.455
moment,rare,0.415
moment,douleur,0.46
moment,ville,0.422
moment,avertir,0.393
moment,reprendre,0.356
moment,admirer,0.422
moment,apprécier,0.362
moment,prix,0.399
moment,parole,0.507
moment,espérer,0.436
moment,droit,0.359
moment,explication,0.366
moment,exister,0.451
moment,prêt,0.406
moment,action,0.4
moment,affection,0.366
moment,atteindre,0.361
moment,avouer,0.419
moment,maladie,0.362
moment,soirée,0.549
moment,sagesse,0.364
moment,calmer,0.356
moment,risquer,0.372
moment,fatiguer,0.396
moment,valeur,0.416
moment,charmer,0.375
moment,mystérieux,0.371
moment,songer,0.389
moment,journée,0.452
moment,preuve,0.386
moment,découvrir,0.376
moment,course,0.406
moment,lieue,0.364
moment,bois,0.407
moment,quotidien,0.395
moment,gentil,0.371
moment,compter,0.442
moment,absenter,0.379
moment,goupil,0.351
moment,docteur,0.413
moment,prévenir,0.41
moment,sourir,0.361
moment,guermantes,0.387
moment,amoureux,0.433
moment,clocher,0.383
moment,endroit,0.354
moment,plaire,0.511
moment,legrandin,0.406
moment,jolie,0.369
moment,qualité,0.377
moment,exiger,0.387
moment,voiture,0.553
moment,mensonge,0.354
moment,musique,0.365
moment,sortie,0.356
moment,tranquille,0.374
moment,bergotte,0.359
moment,forcer,0.431
moment,capable,0.351
moment,accepter,0.354
moment,argent,0.444
moment,soupçon,0.393
moment,gilberte,0.573
moment,charlu,0.358
moment,amant,0.36
moment,verdurin,0.492
moment,cottard,0.39
moment,odette,0.745
moment,restaurant,0.404
moment,odett,0.433
moment,rémi,0.354
moment,prévost,0.361
moment,forcheville,0.627
moment,brichot,0.363
moment,affectionner,0.379
moment,jalousie,0.444
pouvoir,bon,0.564
pouvoir,peine,0.539
pouvoir,pensée,0.601
pouvoir,chercher,0.646
pouvoir,éveiller,0.354
pouvoir,croire,0.715
pouvoir,main,0.462
pouvoir,cesser,0.632
pouvoir,lire,0.533
pouvoir,particulier,0.561
pouvoir,sembler,0.637
pouvoir,parler,0.476
pouvoir,église,0.374
pouvoir,raison,0.561
pouvoir,commencer,0.535
pouvoir,devenir,0.519
pouvoir,existence,0.393
pouvoir,livre,0.382
pouvoir,vue,0.418
pouvoir,étonner,0.397
pouvoir,esprit,0.569
pouvoir,apparaître,0.428
pouvoir,chose,0.726
pouvoir,cause,0.539
pouvoir,train,0.527
pouvoir,distance,0.365
pouvoir,campagne,0.39
pouvoir,souvenir,0.578
pouvoir,nouveau,0.553
pouvoir,silence,0.352
pouvoir,douceur,0.379
pouvoir,beau,0.616
pouvoir,regarder,0.524
pouvoir,instant,0.546
pouvoir,malade,0.473
pouvoir,obliger,0.427
pouvoir,inconnu,0.389
pouvoir,bonheur,0.419
pouvoir,lever,0.424
pouvoir,porter,0.542
pouvoir,souffrir,0.453
pouvoir,dernier,0.498
pouvoir,falloir,0.654
pouvoir,rester,0.68
pouvoir,court,0.39
pouvoir,goûter,0.389
pouvoir,grâce,0.373
pouvoir,conscience,0.371
pouvoir,chambre,0.473
pouvoir,partie,0.496
pouvoir,retourner,0.387
pouvoir,rejoindre,0.433
pouvoir,effort,0.372
pouvoir,vie,0.654
pouvoir,retrouver,0.599
pouvoir,tirer,0.459
pouvoir,oublier,0.41
pouvoir,tête,0.491
pouvoir,monde,0.68
pouvoir,rêve,0.361
pouvoir,femme,0.628
pouvoir,faux,0.44
pouvoir,plaisir,0.662
pouvoir,point,0.472
pouvoir,imaginer,0.449
pouvoir,offrir,0.378
pouvoir,corps,0.364
pouvoir,sentir,0.608
pouvoir,propre,0.448
pouvoir,quitter,0.584
pouvoir,baiser,0.433
pouvoir,arriver,0.658
pouvoir,connaître,0.647
pouvoir,aller,0.759
pouvoir,donner,0.681
pouvoir,entier,0.37
pouvoir,voir,0.761
pouvoir,désirer,0.535
pouvoir,réalité,0.479
pouvoir,charme,0.358
pouvoir,fille,0.499
pouvoir,homme,0.481
pouvoir,année,0.538
pouvoir,lit,0.365
pouvoir,second,0.36
pouvoir,occuper,0.527
pouvoir,bras,0.396
pouvoir,arrêter,0.539
pouvoir,minute,0.392
pouvoir,savoir,0.727
pouvoir,asseoir,0.471
pouvoir,fauteuil,0.372
pouvoir,mois,0.516
pouvoir,suffire,0.393
pouvoir,fût,0.573
pouvoir,profond,0.371
pouvoir,lieu,0.573
pouvoir,milieu,0.521
pouvoir,ignorer,0.396
pouvoir,sentiment,0.424
pouvoir,fond,0.48
pouvoir,avoir,0.731
pouvoir,sortir,0.522
pouvoir,passer,0.654
pouvoir,image,0.522
pouvoir,face,0.463
pouvoir,réussir,0.388
pouvoir,tourner,0.486
pouvoir,pays,0.36
pouvoir,place,0.559
pouvoir,mémoire,0.366
pouvoir,présenter,0.412
pouvoir,changer,0.391
pouvoir,rapprocher,0.357
pouvoir,rappeler,0.565
pouvoir,genre,0.358
pouvoir,fenêtre,0.387
pouvoir,côté,0.429
pouvoir,deviner,0.38
pouvoir,grand,0.662
pouvoir,finir,0.539
pouvoir,maman,0.512
pouvoir,bonsoir,0.351
pouvoir,mort,0.421
pouvoir,fidèle,0.402
pouvoir,combray,0.514
pouvoir,parent,0.55
pouvoir,représenter,0.541
pouvoir,revoir,0.381
pouvoir,attitude,0.364
pouvoir,mme,0.522
pouvoir,dieu,0.367
pouvoir,dîner,0.563
pouvoir,soir,0.659
pouvoir,rentrer,0.61
pouvoir,promenade,0.474
pouvoir,jouer,0.494
pouvoir,être,0.652
pouvoir,distinguer,0.4
pouvoir,courir,0.424
pouvoir,long,0.501
pouvoir,bout,0.39
pouvoir,rose,0.376
pouvoir,séparer,0.386
pouvoir,air,0.595
pouvoir,sorte,0.532
pouvoir,figure,0.428
pouvoir,aimer,0.668
pouvoir,pied,0.374
pouvoir,plein,0.354
pouvoir,montrer,0.521
pouvoir,réserver,0.357
pouvoir,contraire,0.482
pouvoir,indifférence,0.372
pouvoir,efforcer,0.432
pouvoir,cœur,0.58
pouvoir,habitude,0.588
pouvoir,semaine,0.378
pouvoir,heureux,0.613
pouvoir,fois,0.733
pouvoir,mettre,0.655
pouvoir,rue,0.458
pouvoir,présence,0.434
pouvoir,suite,0.529
pouvoir,autrefoi,0.493
pouvoir,paris,0.563
pouvoir,personne,0.522
pouvoir,raconter,0.401
pouvoir,fin,0.449
pouvoir,mère,0.625
pouvoir,douloureux,0.368
pouvoir,attendre,0.525
pouvoir,tristesse,0.419
pouvoir,descendre,0.362
pouvoir,avancer,0.351
pouvoir,rêver,0.396
pouvoir,nom,0.566
pouvoir,écouter,0.369
pouvoir,voix,0.421
pouvoir,comprendre,0.596
pouvoir,continuer,0.52
pouvoir,arranger,0.367
pouvoir,objet,0.392
pouvoir,rencontrer,0.563
pouvoir,rendre,0.498
pouvoir,laisser,0.596
pouvoir,paraître,0.515
pouvoir,ancien,0.428
pouvoir,causer,0.52
pouvoir,beauté,0.368
pouvoir,attention,0.505
pouvoir,influence,0.417
pouvoir,penser,0.712
pouvoir,triste,0.363
pouvoir,besoin,0.554
pouvoir,servir,0.397
pouvoir,manger,0.355
pouvoir,tomber,0.393
pouvoir,cher,0.399
pouvoir,jardin,0.386
pouvoir,salon,0.389
pouvoir,père,0.552
pouvoir,envoyer,0.515
pouvoir,dire,0.681
pouvoir,force,0.399
pouvoir,éviter,0.368
pouvoir,françoise,0.484
pouvoir,précieux,0.387
pouvoir,peur,0.477
pouvoir,vide,0.356
pouvoir,mouvement,0.518
pouvoir,âme,0.416
pouvoir,désir,0.567
pouvoir,ramener,0.354
pouvoir,table,0.455
pouvoir,empêcher,0.607
pouvoir,mari,0.408
pouvoir,apporter,0.424
pouvoir,famille,0.486
pouvoir,entrer,0.585
pouvoir,tendresse,0.434
pouvoir,cas,0.494
pouvoir,souffrance,0.449
pouvoir,regard,0.468
pouvoir,sourire,0.522
pouvoir,visage,0.531
pouvoir,avance,0.454
pouvoir,essayer,0.395
pouvoir,habituer,0.361
pouvoir,considérer,0.423
pouvoir,rire,0.433
pouvoir,persuader,0.36
pouvoir,monter,0.445
pouvoir,maison,0.566
pouvoir,doute,0.585
pouvoir,permettre,0.587
pouvoir,ciel,0.368
pouvoir,amener,0.383
pouvoir,embrasser,0.444
pouvoir,annoncer,0.424
pouvoir,souhaiter,0.434
pouvoir,tâcher,0.514
pouvoir,perdre,0.489
pouvoir,calme,0.419
pouvoir,tendre,0.383
pouvoir,réel,0.427
pouvoir,somme,0.395
pouvoir,swann,0.719
pouvoir,mauvais,0.374
pouvoir,mariage,0.38
pouvoir,recevoir,0.547
pouvoir,visite,0.559
pouvoir,naturel,0.402
pouvoir,prétexte,0.425
pouvoir,profiter,0.388
pouvoir,reconnaître,0.488
pouvoir,garder,0.422
pouvoir,attacher,0.358
pouvoir,importance,0.376
pouvoir,aimable,0.391
pouvoir,jeune,0.394
pouvoir,ami,0.567
pouvoir,an,0.44
pouvoir,posséder,0.449
pouvoir,coup,0.576
pouvoir,vieux,0.436
pouvoir,ensemble,0.356
pouvoir,mourir,0.367
pouvoir,revenir,0.539
pouvoir,pareil,0.362
pouvoir,joie,0.553
pouvoir,geste,0.366
pouvoir,phrase,0.375
pouvoir,prononcer,0.434
pouvoir,propos,0.508
pouvoir,vivre,0.524
pouvoir,préférer,0.414
pouvoir,tenir,0.525
pouvoir,idée,0.567
pouvoir,composer,0.407
pouvoir,placer,0.363
pouvoir,relation,0.408
pouvoir,saluer,0.4
pouvoir,simple,0.443
pouvoir,demande,0.42
pouvoir,intérêt,0.389
pouvoir,supposer,0.47
pouvoir,conversation,0.365
pouvoir,sérieux,0.352
pouvoir,sœur,0.379
pouvoir,tableau,0.355
